city,html_file,file_size,has_infobox,paragraphs,headings,tables,links,first_paragraph
Abrud,abrud.html,170665,False,41,18,7,366,"Abrud (în maghiară Abrudbánya, în germană Großschlatten, Grossschlatten, Altenburg, în latină Colonia Auraria Maior) este un oraș în județul Alba, Tra"
Adjud,adjud.html,179199,False,43,12,6,397,"Adjud (în trecut, Adjudu Nou, în maghiară Egyedhalma) este un municipiu în județul Vrancea, Moldova, România, format din localitățile componente Adjud"
Agnita,agnita.html,163733,False,36,13,6,331,"Agnita (în germană Agnetheln, în maghiară Szentágota, în traducere „Sfânta Agata”, alternativ Szászágota, „Agata Săsească”, colocvial Ágota) este un o"
Aiud,aiud.html,198626,False,44,13,7,578,"Aiud (în maghiară Enyed, Nagyenyed, în dialectul săsesc Änjet, Angetn, Stroßbrich, în germană Straßburg am Mieresch, în latină Brucla) este un municip"
Alba Iulia,alba_iulia.html,353378,False,80,23,11,1066,"Alba Iulia, în slavona veche Bălgrad, (în maghiară Gyulafehérvár, în traducere: Cetatea Albă a lui Iuliu, în latina medievală Albensis Transsilvane, î"
Alexandria,alexandria.html,1407,False,0,0,0,0,
Aleșd,aleșd.html,168408,False,47,15,7,399,"Aleșd (în maghiară Élesd) este un oraș în județul Bihor, Crișana, România, format din localitățile componente Aleșd (reședința), Pădurea Neagră, Pești"
Amara,amara.html,221589,False,70,29,10,634,"Amara este un oraș în județul Ialomița, Muntenia, România, format din localitatea componentă Amara (reședința), și din satul Amara Nouă.[2] Se află în"
Anina,anina.html,141528,False,32,11,6,278,"Anina (germană Steierdorf, maghiară Stájerlakanina) este un oraș în județul Caraș-Severin, Banat, România, format din localitățile componente Anina (r"
Aninoasa,aninoasa.html,123406,False,29,16,6,216,"Aninoasa (în maghiară Aninósza) este un oraș în județul Hunedoara, Transilvania, România, format din localitatea componentă Aninoasa (reședința), și d"
Arad,arad.html,439922,False,118,38,18,1214,"Arad (în maghiară Arad, sârbă Арад/Arad, germană Arad) este municipiul de reședință al județului cu același nume, la limita între regiunile istorice B"
